action,session,entity,date
MBR-0011-030820-1,1,11,030820
MBR-0011-110820-3,3,11,110820
MBR-0011-120820-1,1,11,120820
MBR-0012-110820-1,1,12,110820
MBR-0012-120820-1,1,12,120820
MBR-0013-060820-1,1,13,060820
MBR-0013-060820-3,3,13,060820
MBR-0013-100820-1,1,13,100820
MBR-0013-110820-1,1,13,110820
MBR-0013-120820-1,1,13,120820
MBR-0013-130820-1,1,13,130820
MBR-0013-130820-2,2,13,130820
MBR-0013-240820-1,1,13,240820
MBR-0013-250820-1,1,13,250820
MBR-0013-260820-1,1,13,260820
MBR-0013-270820-1,1,13,270820
MBR-0013-270820-2,2,13,270820
MBR-0013-280820-1,1,13,280820
MBR-0013-280820-2,2,13,280820
